ID	Type
Phylloscopus_trochiloides_viridanus	X
Phylloscopus_trochilus_acredula	X
Phylloscopus_trochilus_trochilus	X
Phylloscopus_whistleri	X
Piaya_cayana	X
Picathartes_gymnocephalus	X
Pionus_senilis	X
Pipra_filicauda	X
Piprites_chloris	X
Pitta_sordida	X
Platysteira_castanea	X
Ploceus_nigricollis	X
Pluvialis_apricaria	Y
Pluvianellus_socialis	Y
Podargus_strigoides	X
Podiceps_cristatus	Y
Podilymbus_podiceps	X
Poecile_atricapillus	X
Pogoniulus_pusillus	X
Pogoniulus_pusillus_pusillus	X
Polioptila_caerulea	X
Pomatorhinus_ruficollis	X
Pomatostomus_ruficeps	X
Porphyrio_hochstetteri	X
Prinia_subflava	X
Probosciger_aterrimus	X
Promerops_cafer	X
Prunella_fulvescens	X
Prunella_himalayana	X
Pseudopodoces_humilis	X
Pseudorectes_ferrugineus	X
Psilopogon_haemacephalus	X
Psittacula_krameri	X
Psittacus_erithacus	X
Psittacus_timneh	X
Psitteuteles_goldiei	Y
Psophia_crepitans	X
Pterocles_burchelli	X
Pterocles_gutturalis	X
Pterocles_orientalis	X
Pteruthius_melanotis	X
Ptilonorhynchus_violaceus	X
Ptilorrhoa_leucosticta	X
Pycnonotus_jocosus	X
Pygoscelis_adeliae	Y
Pygoscelis_antarcticus	Y
Pygoscelis_papua	Y
Pyrgilauda_ruficollis	X
Pyrrhura_cruentata	X
Pyrrhura_frontalis	X
Pyrrhura_griseipectus	X
Pyrrhura_lepida	X
Pyrrhura_molinae	X
Pyrrhura_perlata	X
Quiscalus_mexicanus	X
Ramphastos_sulfuratus	X
Recurvirostra_avosetta	Y
Regulus_satrapa	X
Rhabdornis_inornatus	X
Rhadina_sibilatrix	X
Rhagologus_leucostigma	X
Rhea_americana	Z
Rhea_pennata	Z
Rhegmatorhina_hoffmannsi	X
Rhinopomastus_cyanomelas	Y
Rhinoptilus_africanus	Y
Rhipidura_dahli	X
Rhodinocichla_rosea	X
Rhynochetos_jubatus	Y
Riparia_riparia	X
Rissa_tridactyla	Y
Rostratula_benghalensis	X
Rynchops_niger	X
Sagittarius_serpentarius	Y
Sakesphorus_luctuosus	X
Sapayoa_aenigma	X
Saxicola_maurus_maurus	X
Sclerurus_mexicanus	X
Scolopax_mira	Y
Scopus_umbretta	Y
Scytalopus_superciliaris	X
Semnornis_frantzii	X
Serilophus_lunatus	X
Serinus_canaria	X
Setophaga_coronata_coronata	X
Setophaga_kirtlandii	X
Sialia_sialis	X
Sinosuthora_webbiana	X
Sitta_europaea	X
Smithornis_capensis	X
Spheniscus_demersus	Y
Spheniscus_humboldti	Y
Spheniscus_magellanicus	Y
Spheniscus_mendiculus	Y
Spizaetus_tyrannus	X
Spizella_passerina	X
Sporophila_hypoxantha	X
Steatornis_caripensis	Y
Stercorarius_parasiticus	Y
Sterna_hirundo	Y
Sterrhoptilus_dennistouni	X
Stictonetta_naevosa	Y
Streptopelia_turtur	X
Strigops_habroptila	Y
Strix_nebulosa	Y
Strix_occidentalis_caurina	Y
Struthidea_cinerea	X
Struthio_camelus_australis	Z
Sturnus_vulgaris	X
Sula_dactylatra	Y
Sylvia_atricapilla	X
Sylvia_borin	X
Sylvietta_virens	X
Syrmaticus_mikado	X
Syrrhaptes_paradoxus	X
Tachuris_rubrigastra	X
Tachycineta_bicolor	X
Taeniopygia_guttata	X
Tauraco_erythrolophus	Y
Tetrax_tetrax	X
Thalassarche_chlororhynchos	Y
Theristicus_caerulescens	Y
Thinocorus_orbignyianus	Y
Thryothorus_ludovicianus	X
Tichodroma_muraria	X
Tinamus_guttatus	Z
Todus_mexicanus	X
Toxostoma_redivivum	X
Tricholaema_leucomelas	X
Trogon_melanurus	Y
Trogon_surrucura	X
Turdus_rufiventris	X
Turnix_velox	X
Tympanuchus_cupido_pinnatus	X
Tyrannus_savana	X
Tyto_alba_alba	Y
Tyto_alba	Y
Upupa_epops	X
Uria_aalge	Y
Uria_aalge_inornata	Y
Uria_lomvia	Y
Urocolius_indicus	X
Urocynchramus_pylzowi	X
Vidua_chalybeata	X
Vidua_macroura	X
Vireo_altiloquus	X
Willisornis_vidua_nigrigula	X
Xiphorhynchus_elegans	X
Zapornia_atra	Y
Zonotrichia_albicollis	X
Zosterops_borbonicus	X
Zosterops_hypoxanthus	X
Zosterops_japonicus	X
Zosterops_lateralis_melanops	X
Zosterops_pallidus	X
